cluster_10,0,1,Total,CG_Percentage,OR_Percentage,Majority_Class,Correct_Predictions
0,1149,2200,3349,0.6569125111973724,0.3430874888026276,CG_Percentage,0.6569125111973724
1,2206,2621,4827,0.5429873627511912,0.4570126372488088,CG_Percentage,0.5429873627511912
2,2844,4666,7510,0.6213049267643143,0.3786950732356857,CG_Percentage,0.6213049267643143
3,2008,870,2878,0.3022932592077831,0.6977067407922168,OR_Percentage,0.6977067407922168
4,1303,445,1748,0.2545766590389016,0.7454233409610984,OR_Percentage,0.7454233409610984
5,2852,1488,4340,0.3428571428571428,0.6571428571428571,OR_Percentage,0.6571428571428571
6,1235,262,1497,0.1750167000668002,0.8249832999331997,OR_Percentage,0.8249832999331997
7,391,2011,2402,0.8372189841798501,0.1627810158201498,CG_Percentage,0.8372189841798501
8,4854,5320,10174,0.5229015136622764,0.4770984863377236,CG_Percentage,0.5229015136622764
9,1373,322,1695,0.1899705014749262,0.8100294985250738,OR_Percentage,0.8100294985250738
